bins,Average_SD_best_GraphSage_small,Average_SD_best_ResGnn_small,Average_SD_best_GlobalInfo_small,Average_SD_best_GraphSage_large,Average_SD_best_ResGnn_large,Average_SD_best_GlobalInfo_large,Average_SD_ensemble
22.0,1.6098082065582275,1.708458423614502,1.5693764686584473,1.4803239107131958,1.5794886350631714,1.657145619392395,0.49575087164771486
22.5,1.621637225151062,1.7285521030426023,1.5522286891937256,1.5090168714523315,1.6141207218170166,1.6822601556777954,0.4752238730991425
23.0,1.6188737154006958,1.6684377193450928,1.5684059858322144,1.515891194343567,1.616246461868286,1.6994367837905884,0.4171987821393143
23.5,1.6507508754730225,1.6783065795898438,1.5746809244155884,1.5475648641586304,1.6503121852874756,1.7434237003326416,0.4103460509164677
24.0,1.7213878631591797,1.7281233072280884,1.6448252201080322,1.5937159061431885,1.6678141355514526,1.8260585069656368,0.4406502671863014
24.5,1.6689869165420532,1.7073556184768677,1.5601202249526978,1.572606325149536,1.7163079977035522,1.8033409118652344,0.5143015663516198
25.0,1.7027127742767334,1.7068450450897217,1.5811142921447754,1.568376064300537,1.6609362363815308,1.7840993404388428,0.5211826987958212
25.5,1.7568451166152954,1.744343638420105,1.672400951385498,1.553013801574707,1.6611312627792358,1.780384182929993,0.5400091114894924
26.0,1.7459999322891235,1.7681818008422852,1.6299006938934326,1.5540820360183716,1.6792025566101074,1.8921138048172,0.516135202194564
26.5,1.953897953033448,1.8295029401779173,1.7926254272460938,1.736631989479065,1.7319148778915403,2.3925156593322754,0.37594535973924054
27.0,1.7803032398223877,1.8243757486343384,1.624129295349121,1.5024001598358154,1.659289836883545,1.9847371578216555,0.6308441451627153
